StaNumber	StaName
01463500	Delaware River at Trenton NJ
01646500	Potomac River near Wash., DC Little Falls Pump Station
03150000	Muskingum River at McConnelsville OH
03271601	Great Miami River below Miamisburg OH
03428200	WEST FORK STONES RIVER AT MURFREESBORO,TN
04193500	Maumee River at Waterville OH
04197100	Honey Creek at Melmore OH
04197170	Rock Creek at Tiffin OH
05057000	SHEYENNE RIVER NR COOPERSTOWN, ND
05325000	MINNESOTA RIVER AT MANKATO, MN
05474000	Skunk River at Augusta, IA
05554500	VERMILION RIVER AT PONTIAC, IL
09163500	COLORADO RIVER NEAR COLORADO-UTAH STATE LINE
11447650	SACRAMENTO R A FREEPORT CA
